DBNs,Funding
08X333,2915557
08X335,1269814
22K312,5027543
10X254,2800895
14K023,1678705
84M708,0
16K081,2966012
10X399,0
26Q173,4062041
84M702,0
10X396,1801262
10X391,4102824
10X390,3184842
84M704,0
84M705,0
19K171,4121975
84K359,0
17K484,1105611
19K174,2947052
06M048,3472325
20K112,2527359
11X096,5680415
11X142,4665097
84K357,0
84K356,0
84K355,0
26Q178,2583823
24Q102,5994672
03M054,4159737
05M046,3715507
31R014,3561550
23K155,3055679
23K156,3805426
31R027,6496319
15K038,2527319
15K039,2014069
19K072,0
09X035,3559757
17K375,3002507
75K370,0
75Q255,0
75Q256,0
06M192,2392875
20K506,3628246
24Q068,4058100
31R022,5536986
75K372,0
24Q061,10779224
05M161,6347199
84X165,0
02M051,1941030
25Q193,2604289
25Q499,2313998
75X168,0
27Q262,2892819
31R021,2676822
01M315,1357198
31R080,6034466
22K234,8499129
07X296,1730436
20K204,5686059
13K009,2977884
20K201,6633224
20K200,5616494
32K299,2697208
21K153,2759777
07X298,1616627
22K236,3439226
08X100,4090173
11X127,3946338
07X029,4089160
12X057,3098256
12X050,3291315
12X198,2872603
84X255,0
16K335,2894437
12X195,4406434
05M302,1393560
09X250,2136185
12X196,4244375
20K163,3130137
20K160,4410593
13K596,1146433
27Q045,2659717
27Q047,1518990
27Q042,3929236
75Q224,0
13K003,3301151
09X145,3023513
10X447,1535335
04M381,1792398
24Q199,5525093
07X223,2475122
28Q220,3150581
31R039,2540946
31R038,2434094
29Q176,3828522
31R061,6676344
31R035,1928395
31R034,6338957
31R036,4666025
06M128,4179444
13K266,1245865
21K239,6178607
21K238,4018995
07X179,2443917
22K222,4266991
13K046,2224723
16K636,1184558
22K381,2932190
26Q133,3174976
15K107,2810948
29Q095,7167177
84K538,0
13K287,1697009
08X140,3152698
13K282,5192669
09X022,3758408
31R048,2345399
08X269,2321476
08X146,2498567
30Q070,4793349
10X024,4752708
10X141,7541903
32K349,3235433
30Q076,3789573
19K311,1641562
30Q078,1673384
24Q088,6759463
17K340,1508219
15K429,2901009
15K088,5519389
30Q171,3477236
27Q106,2158711
24Q089,9183434
84Q304,0
23K631,2515586
02M167,5847160
26Q221,3055125
23K634,1291693
10X206,2315241
10X205,5323674
30Q212,4175581
25Q200,3369253
25Q201,3490457
25Q020,6975853
22K254,3046029
22K255,4219140
75Q023,0
31R042,5427296
18K598,1996679
22K251,3653495
08X375,3213122
22K315,3737533
01M450,3981706
13K133,1886922
02M002,4448589
02M001,2956032
18K219,4295323
84M336,0
21K090,3310531
30Q286,2048744
84M330,0
75X723,0
84K626,0
75X721,0
19K409,2415026
25Q025,4590391
12X384,2254690
26Q172,5155139
08X062,3689392
10X291,3062281
10X118,5912624
05M286,1537542
23K332,2577171
14K577,2435526
09X073,4625407
09X070,6958317
31R052,4223549
22K269,3079071
32K123,4394291
14K614,1424298
12X383,1355500
05M123,3728181
84K726,0
05M125,1756053
23K298,3079766
04M964,1549419
10X306,4194646
23K522,1405012
04M038,2035921
15K676,1305863
06M314,1823975
06M098,3930707
06M311,2320567
84M335,0
84X717,0
27Q226,7074197
22K555,3021004
06M319,3259352
04M037,1677305
10X360,2538176
03M087,4747502
03M084,2464867
10X363,1359759
11X041,4973174
10X368,5948700
29Q238,8184692
84K362,0
20K127,2930441
13K492,1931983
21K209,4189995
18K211,4388426
25Q294,2121589
06M173,3922104
84M384,0
17K590,4443337
12X098,3205338
84K536,0
14K297,2214750
84M385,0
09X454,1644154
12X316,1697181
75X188,0
25Q165,3325175
12X092,3053780
27Q318,910412
05M129,3894731
09X517,3355457
09X327,1873929
27Q123,3665482
05M154,2647600
31R072,8430725
31R075,6805874
24Q091,5000353
25Q189,4463220
24Q093,6720409
25Q185,5609550
09X325,2840400
04M108,3724431
24Q153,7266689
20K205,4881137
19K214,5195742
12X691,1628680
11X189,2326219
06M005,4347779
06M004,3887852
14K196,2612604
27Q319,1171287
02M289,1630618
22K152,4005844
11X181,3847156
09X328,1436840
30Q148,5396800
30Q112,3278661
21K101,4103603
21K100,3498880
15K027,0
02M217,2306409
28Q040,3490794
02M212,1746649
12X271,3501777
01M839,2271297
16K309,2540292
28Q144,4214975
22K078,6586327
19K213,2665222
26Q188,2433136
12X273,1563935
19K218,3420632
01M064,2274168
20K105,8734093
09X230,2685754
84X346,0
84X718,0
26Q046,3272324
28Q117,6095304
17K543,2649987
01M345,1729284
09X199,3712415
09X232,2640579
19K190,2147615
27Q155,3465216
13K256,2275156
27Q225,0
02M124,4789764
84K742,0
02M260,1782566
17K091,4377397
03M208,1563075
02M042,4400417
02M041,3854910
10X086,9087642
10X081,4289175
10X080,4041519
84R073,0
07X369,1695342
30Q092,5043187
17K012,2086013
26Q266,3644564
16K393,2621274
27Q223,4111127
11X111,4385771
22K217,6597438
32K376,3257850
32K377,4086778
84K710,0
19K364,2189906
25Q244,1579770
84M279,0
15K447,2773471
29Q195,3558393
29Q059,4282487
07X031,3615070
29Q192,3905838
03M334,2487986
29Q231,5283748
30Q002,3744162
10X015,3065256
04M182,2111132
29Q052,3023097
14K084,2929076
16K025,3137841
16K026,2053777
11X097,3868621
16K021,3404851
84M388,0
25Q250,2288781
25Q154,3263222
07X030,2577778
16K028,2075897
28Q157,6424921
09X090,0
27Q062,4511424
17K289,3743775
13K103,1686169
23K392,1453004
17K161,4303153
23K644,1362923
08X014,3834012
02M131,4330556
17K167,2917328
08X337,1711529
27Q309,2302635
05M410,920651
08X448,1391940
75X010,0
18K268,3104115
06M218,2754689
06M223,2355944
27Q306,1662225
01M015,1560936
14K031,2765274
26Q074,5156553
20K164,2925431
14K034,2456289
20K102,5733062
10X244,3875024
29Q270,3777194
29Q116,4308577
10X059,4073417
06M528,1563804
19K065,3694854
27Q317,1931572
32K116,3184448
19K149,3878918
84X394,0
09X413,3569646
