School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15,"1,277",,1,P.S. 001 The Bergen,0,2,1,1,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,479,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17,397,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K002,84K704      ,Explore Charter School,K704,655 PARKSIDE AVENUE,K,17,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,876,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,1,5,2,2,4,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,K,13,513,,1,P.S. 003 The Bedford Village,2,0,0,2,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16,312,,1,P.S. 005 Dr. Ronald Mcnair,1,1,0,2,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17,714,,1,P.S. 006,0,1,2,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,K,19,"1,073",,1,P.S. 007 Abraham Lincoln,0,1,0,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,K,13,848,,1,P.S. 008 Robert Fulton,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,K,13,722,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K009,84K780      ,Brooklyn East Collegiate Charter School,K780,80 UNDERHILL AVENUE,K,13,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,K,13,722,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,K,15,921,,1,"Magnet School of Math, Science and Design Technolo",0,1,0,0,1,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K011,13K011,P.S. 011 Purvis J. Behan,K011,419 WAVERLY AVENUE,K,13,732,,1,P.S. 011 Purvis J. Behan,1,0,1,1,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K012,17K484,Ronald Edmonds Learning Center II,K484,430 HOWARD AVENUE,K,23,146,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,430 HOWARD AVENUE,K,23,211,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,430 HOWARD AVENUE,K,23,357,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,2,3,3,5,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,K,19,494,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K013,84K358      ,Achievement First East New York Charter School,K358,557 PENNSYLVANIA AVENUE,K,19,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K013,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,557 PENNSYLVANIA AVENUE,K,19,494,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,0,1,4,0,1,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K014,22K014,J.H.S. 014 Shell Bank,K014,2424 BATCHELDER STREET,K,22,558,,1,J.H.S. 014 Shell Bank,0,4,2,3,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K015,15K015,P.S. 015 Patrick F. Daly,K015,71 SULLIVAN STREET,K,15,392,,1,P.S. 015 Patrick F. Daly,0,1,1,1,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K016,84K355      ,Williamsburg Collegiate Charter School,K355,157 WILSON STREET,K,14,,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,K,14,249,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K016,,157 WILSON STREET CONSOLIDATED LOCATION,,157 WILSON STREET,K,14,249,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,0,0,2,0,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K017,14K017,P.S. 017 Henry D. Woodworth,K017,208 NORTH  5 STREET,K,14,334,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K017,14K577,Conselyea Preparatory School,K577,208 NORTH  5 STREET,K,14,498,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K017,,208 NORTH  5 STREET CONSOLIDATED LOCATION,,208 NORTH  5 STREET,K,14,832,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,0,0,1,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K018,14K018,P.S. 018 Edward Bush,K018,101 MAUJER STREET,K,14,197,,1,P.S. 018 Edward Bush,1,2,1,3,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K019,14K019,P.S. 019 Roberto Clemente,K019,325 SOUTH  3 STREET,K,14,113,325 SOUTH  3 STREET CONSOLIDATED LOCATION,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K019,14K414,Brooklyn Arbor Elementary School,K414,325 SOUTH  3 STREET,K,14,334,325 SOUTH  3 STREET CONSOLIDATED LOCATION,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K019,,325 SOUTH  3 STREET CONSOLIDATED LOCATION,,325 SOUTH  3 STREET,K,14,447,325 SOUTH  3 STREET CONSOLIDATED LOCATION,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,0,1,1,1,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,K,13,321,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K020,13K492,Academy of Arts and Letters,K492,225 ADELPHI STREET,K,13,490,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,225 ADELPHI STREET,K,13,811,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0,0,1,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K021,16K021,P.S. 021 Crispus Attucks,K021,180 CHAUNCEY STREET,K,16,648,,1,P.S. 021 Crispus Attucks,0,1,1,1,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K022,17K022,P.S. 022,K022,443 ST MARKS AVENUE,K,17,24,443 ST MARKS AVENUE CONSOLIDATED LOCATION,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K022,84K333      ,Explore Exceed Charter School,K333,443 ST MARKS AVENUE,K,17,,,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K022,17K705,Brooklyn Arts and Science Elementary School,K705,443 ST MARKS AVENUE,K,17,268,443 ST MARKS AVENUE CONSOLIDATED LOCATION,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K022,,443 ST MARKS AVENUE CONSOLIDATED LOCATION,,443 ST MARKS AVENUE,K,17,292,443 ST MARKS AVENUE CONSOLIDATED LOCATION,3,P.S. 022 |Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,0,2,2,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K023,14K023,P.S. 023 Carter G. Woodson,K023,545 WILLOUGHBY AVENUE,K,14,276,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K023,84K701      ,Brooklyn Charter School,K701,545 WILLOUGHBY AVENUE,K,14,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K023,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,545 WILLOUGHBY AVENUE,K,14,276,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,1,0,0,1,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K024,15K024,P.S. 024,K024,427 38 STREET,K,15,699,,1,P.S. 024,0,0,1,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K025,16K534,Upper School @ P.S. 25,K534,787 LAFAYETTE AVENUE,K,16,151,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K025,16K025,P.S. 025 Eubie Blake School,K025,787 LAFAYETTE AVENUE,K,16,235,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K025,,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,787 LAFAYETTE AVENUE,K,16,386,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0,3,0,0,2,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K026,16K026,P.S. 026 Jesse Owens,K026,1014 LAFAYETTE AVENUE,K,16,254,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K026,16K681,Madiba Prep Middle School,K681,1014 LAFAYETTE AVENUE,K,16,165,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K026,16K393,Frederick Douglass Academy IV Secondary School,K393,1014 LAFAYETTE AVENUE,K,16,155,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K026,,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,1014 LAFAYETTE AVENUE,K,16,574,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,1,0,6,1,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K027,84K730      ,Summit Academy Charter School,K730,27 HUNTINGTON STREET,K,15,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K027,15K676,Red Hook Neighborhood School,K676,27 HUNTINGTON STREET,K,15,223,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K027,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,,27 HUNTINGTON STREET,K,15,223,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,0,1,0,1,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K028,16K028,P.S. 028 The Warren Prep Academy,K028,1001 HERKIMER STREET,K,16,240,,1,P.S. 028 The Warren Prep Academy,0,0,0,0,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K029,15K029,P.S. 029 John M. Harrigan,K029,425 HENRY STREET,K,15,803,,1,P.S. 029 John M. Harrigan,0,0,1,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K031,14K031,P.S. 031 Samuel F. Dupont,K031,75 MESEROLE AVENUE,K,14,596,,1,P.S. 031 Samuel F. Dupont,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K032,15K032,P.S. 032 Samuel Mills Sprole,K032,317 HOYT STREET,K,15,424,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K032,15K442,M.S. 442 Carroll Gardens School for Innovation,K442,317 HOYT STREET,K,15,193,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K032,,317 HOYT STREET CONSOLIDATED LOCATION,,317 HOYT STREET,K,15,617,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,1,3,1,4,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K033,14K330,The Urban Assembly School for the Urban Environmen,K330,70 TOMPKINS AVENUE,K,14,84,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K033,84K367      ,Success Academy Charter School - Bed-Stuy 1,K367,70 TOMPKINS AVENUE,K,14,,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K033,75K368,P.S. 368,K368,70 TOMPKINS AVENUE,K,14,263,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K033,14K322,Foundations Academy,K322,70 TOMPKINS AVENUE,K,14,110,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K033,,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,,70 TOMPKINS AVENUE,K,14,457,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,1,7,2,4,3,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K034,14K034,P.S. 034 Oliver H. Perry,K034,131 NORMAN AVENUE,K,14,552,,1,P.S. 034 Oliver H. Perry,1,1,0,2,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K035,16K035,M.S. 035 Stephen Decatur,K035,272 MACDONOUGH STREET,K,16,206,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K035,16K628,Brooklyn Brownstone School,K628,272 MACDONOUGH STREET,K,16,222,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K035,,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,272 MACDONOUGH STREET,K,16,428,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,0,1,2,0,1,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K038,15K038,P.S. 038 The Pacific,K038,450 PACIFIC STREET,K,15,504,,1,P.S. 038 The Pacific,0,0,1,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K039,15K039,P.S. 039 Henry Bristow,K039,417 6 AVENUE,K,15,387,,1,P.S. 039 Henry Bristow,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K040,16K040,P.S. 040 George W. Carver,K040,265 RALPH AVENUE,K,16,337,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K040,16K594,Gotham Professional Arts Academy,K594,265 RALPH AVENUE,K,16,242,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K040,,265 RALPH AVENUE CONSOLIDATED LOCATION,,265 RALPH AVENUE,K,16,579,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,1,0,0,1,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K041,23K041,P.S. 041 Francis White,K041,411 THATFORD AVENUE,K,23,553,,1,P.S. 041 Francis White,0,6,0,0,5,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K043,21K098,I.S. 98 Bay Academy,K098,1401 EMMONS AVENUE,K,21,"1,367",,1,I.S. 98 Bay Academy,0,0,1,0,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K044,84K757      ,Unity Prep Charter School,K757,432 MONROE STREET,K,13,,432 MONROE STREET CONSOLIDATED LOCATION,2,P.S. 044 Marcus Garvey|Unity Prep Charter School|432 MONROE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K044,13K044,P.S. 044 Marcus Garvey,K044,432 MONROE STREET,K,13,287,432 MONROE STREET CONSOLIDATED LOCATION,2,P.S. 044 Marcus Garvey|Unity Prep Charter School|432 MONROE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K044,,432 MONROE STREET CONSOLIDATED LOCATION,,432 MONROE STREET,K,13,287,432 MONROE STREET CONSOLIDATED LOCATION,2,P.S. 044 Marcus Garvey|Unity Prep Charter School|432 MONROE STREET CONSOLIDATED LOCATION,0,0,1,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K045,32K045,P.S./I.S. 045 Horace E. Greene,K045,84 SCHAEFER STREET,K,32,871,,1,P.S./I.S. 045 Horace E. Greene,0,1,2,1,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
