School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K580,13K605,George Westinghouse Career and Technical Education,K605,105 JOHNSON STREET,K,13,702,105 JOHNSON STREET CONSOLIDATED LOCATION,5,"George Westinghouse Career and Technical Education|  Downtown Brooklyn Yabc|  City Polytechnic High School of Engineering, Archi|  G. Westinghouse Evening H.S.|  Westinghouse Evening Hs T/R|  105 JOHNSON STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K580,13K901      ,G. Westinghouse Evening H.S.,K901,105 JOHNSON STREET,K,13,,105 JOHNSON STREET CONSOLIDATED LOCATION,5,"George Westinghouse Career and Technical Education|  Downtown Brooklyn Yabc|  City Polytechnic High School of Engineering, Archi|  G. Westinghouse Evening H.S.|  Westinghouse Evening Hs T/R|  105 JOHNSON STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K580,13K657,Downtown Brooklyn Yabc,K657,105 JOHNSON STREET,K,13,280,105 JOHNSON STREET CONSOLIDATED LOCATION,5,"George Westinghouse Career and Technical Education|  Downtown Brooklyn Yabc|  City Polytechnic High School of Engineering, Archi|  G. Westinghouse Evening H.S.|  Westinghouse Evening Hs T/R|  105 JOHNSON STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K580,13K674,"City Polytechnic High School of Engineering, Archi",K674,105 JOHNSON STREET,K,13,451,105 JOHNSON STREET CONSOLIDATED LOCATION,5,"George Westinghouse Career and Technical Education|  Downtown Brooklyn Yabc|  City Polytechnic High School of Engineering, Archi|  G. Westinghouse Evening H.S.|  Westinghouse Evening Hs T/R|  105 JOHNSON STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K580,,105 JOHNSON STREET CONSOLIDATED LOCATION,,105 JOHNSON STREET,K,13,"1,433",105 JOHNSON STREET CONSOLIDATED LOCATION,5,"George Westinghouse Career and Technical Education|  Downtown Brooklyn Yabc|  City Polytechnic High School of Engineering, Archi|  G. Westinghouse Evening H.S.|  Westinghouse Evening Hs T/R|  105 JOHNSON STREET CONSOLIDATED LOCATION",3,9,13,6,4,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K590,17K590,Medgar Evers College Preparatory School,K590,1186 CARROLL STREET,K,17,"1,248",,1,Medgar Evers College Preparatory School,2,4,2,5,1,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,K600,17K600,Clara Barton High School,K600,901 CLASSON AVENUE,K,17,"1,525",,1,Clara Barton High School,0,7,14,3,4,1501-1750,8C,0.81,3.95,6.51,2.30,1.78
2013-14,K610,14K632,Frances Perkins Academy,K632,50 BEDFORD AVENUE,K,14,157,50 BEDFORD AVENUE CONSOLIDATED LOCATION,3,Frances Perkins Academy |  Automotive High School Yabc |  Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K610,14K923,Automotive High School Yabc,K923,50 BEDFORD AVENUE,K,14,273,50 BEDFORD AVENUE CONSOLIDATED LOCATION,3,Frances Perkins Academy |  Automotive High School Yabc |  Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K610,14K610,Automotive High School,K610,50 BEDFORD AVENUE,K,14,420,50 BEDFORD AVENUE CONSOLIDATED LOCATION,3,Frances Perkins Academy |  Automotive High School Yabc |  Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K610,,50 BEDFORD AVENUE CONSOLIDATED LOCATION,,50 BEDFORD AVENUE,K,14,850,50 BEDFORD AVENUE CONSOLIDATED LOCATION,3,Frances Perkins Academy |  Automotive High School Yabc |  Automotive High School |  50 BEDFORD AVENUE CONSOLIDATED LOCATION,2,3,5,4,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
